reg_season_Age,reg_season_G,reg_season_GS,reg_season_AS,reg_season_MP,reg_season_FG,reg_season_FGA,reg_season_2P,reg_season_2PA,reg_season_3P,reg_season_3PA,reg_season_FT,reg_season_FTA,reg_season_ORB,reg_season_DRB,reg_season_TRB,reg_season_AST,reg_season_STL,reg_season_BLK,reg_season_TOV,reg_season_PF,reg_season_PTS,reg_season_FG%,reg_season_2P%,reg_season_3P%,reg_season_FT%,reg_season_TS%,reg_season_eFG%,reg_season_Pos,reg_season_WS,reg_season_ORtg,reg_season_DRtg,reg_season_OWS,reg_season_DWS,reg_season_WS/48,reg_season_OBPM,reg_season_DBPM,reg_season_BPM,reg_season_VORP,reg_season_PER,reg_season_ORB%,reg_season_DRB%,reg_season_TRB%,reg_season_AST%,reg_season_STL%,reg_season_BLK%,reg_season_TOV%,reg_season_USG%,Player_Cleaned,Salary,Adjusted Salary
21,71,32,0,27.3,4.6,10.8,2.7,5.4,1.9,5.4,1.2,1.4,0.6,3.7,4.3,1.9,1.1,0.6,0.8,2.0,12.3,0.427,0.492,0.361,0.838,0.54,0.516,G-F,3.3,109.0,112,1.3,2.0,0.082,-0.5,0.0,-0.5,0.7,13.3,2.4,14.3,8.3,9.7,1.9,1.8,6.7,18.9,devinvassell,4235160.0,4618855.0
27,65,65,1,37.9,6.8,16.9,3.1,7.0,3.7,9.9,3.0,3.4,0.7,3.8,4.4,6.7,1.7,0.5,2.6,2.5,20.3,0.403,0.44,0.377,0.874,0.552,0.513,G,6.7,115.0,111,3.9,2.8,0.131,3.1,0.5,3.6,3.5,17.3,1.8,11.4,6.4,26.7,2.3,1.4,12.5,23.7,fredvanvleet,19675926.0,21458517.0
22,74,67,0,25.4,2.9,4.9,2.8,4.7,0.0,0.2,1.2,1.8,2.9,5.5,8.4,1.3,1.3,0.6,1.0,2.4,6.9,0.587,0.605,0.143,0.656,0.612,0.59,F,6.0,127.0,108,3.1,2.9,0.153,-0.8,1.0,0.2,1.1,15.3,12.0,23.9,17.8,6.7,2.5,2.4,14.8,10.9,jarredvanderbilt,4050000.0,4416920.0
29,74,74,0,30.3,6.9,12.7,6.1,10.5,0.8,2.1,3.2,3.9,3.1,8.3,11.4,2.6,0.6,0.8,2.4,3.3,17.8,0.544,0.581,0.361,0.82,0.617,0.574,C,7.3,118.0,111,4.6,2.7,0.156,2.0,-0.1,1.9,2.2,21.2,10.9,31.2,20.8,14.0,0.9,2.6,14.4,23.8,jonasvalanciunas,14000000.0,15268366.0
25,42,42,0,29.4,4.8,9.4,3.3,5.0,1.5,4.4,1.9,2.5,1.5,5.5,7.1,1.0,0.7,2.8,1.3,2.8,12.9,0.509,0.662,0.333,0.752,0.615,0.587,C-F,3.1,117.0,111,1.7,1.4,0.12,0.1,1.4,1.4,1.1,17.4,5.8,21.3,13.4,5.1,1.1,8.3,10.9,17.1,mylesturner,18000000.0,19630756.0
36,71,70,0,27.9,2.9,6.0,1.8,3.3,1.1,2.7,0.6,0.9,1.4,4.0,5.5,2.1,0.8,0.2,0.9,2.3,7.6,0.484,0.54,0.415,0.738,0.593,0.577,F,5.0,120.0,110,2.4,2.6,0.121,-0.8,1.4,0.6,1.3,11.3,5.8,16.2,11.1,10.6,1.5,0.8,12.7,11.7,pjtucker,7000000.0,7634183.0
23,70,69,0,35.0,6.4,15.5,3.4,7.7,3.0,7.8,2.5,2.9,0.4,2.4,2.7,2.0,1.7,0.3,1.0,2.1,18.3,0.414,0.445,0.383,0.853,0.546,0.511,G,5.6,114.0,112,3.1,2.5,0.11,-0.1,0.3,0.2,1.3,14.7,1.1,7.7,4.2,8.8,2.5,0.8,5.8,21.8,garytrent,16225000.0,17694945.0
26,74,74,1,33.5,8.7,16.4,6.6,11.5,2.0,4.9,5.2,6.3,2.6,7.2,9.8,3.6,1.0,1.1,3.1,3.6,24.6,0.529,0.58,0.41,0.822,0.64,0.591,C-F,10.3,121.0,110,7.1,3.2,0.199,4.5,0.5,5.0,4.4,24.1,8.2,23.6,15.7,18.0,1.4,3.2,13.7,27.8,karlanthonytowns,31650600.0,34518067.0
24,66,50,0,25.5,2.3,4.5,1.6,2.4,0.7,2.2,0.5,0.7,0.6,1.7,2.3,1.1,1.7,1.1,0.6,2.4,5.7,0.5,0.673,0.313,0.791,0.594,0.575,G,3.7,116.0,108,1.2,2.5,0.107,-2.2,3.3,1.1,1.3,11.2,2.8,7.1,5.0,6.1,3.4,3.8,10.9,9.5,matissethybulle,2840160.0,3097471.0
31,32,32,0,29.4,7.7,17.9,4.1,8.7,3.6,9.3,1.4,1.6,0.5,3.4,3.9,2.8,0.5,0.5,1.3,1.7,20.4,0.429,0.477,0.385,0.902,0.547,0.529,G-F,1.8,107.0,110,0.6,1.2,0.091,2.6,-1.6,1.1,0.7,16.7,1.8,12.4,7.3,16.1,0.8,1.7,6.7,29.6,klaythompson,37980720.0,41421681.0
23,76,76,1,35.9,9.3,20.6,6.3,12.0,3.0,8.6,5.3,6.2,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,26.9,0.453,0.524,0.353,0.853,0.578,0.526,F,9.6,113.0,106,5.0,4.6,0.169,4.3,0.6,5.0,4.8,21.8,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,jaysontatum,28103500.0,30649609.0
26,78,77,0,26.4,4.7,9.3,3.8,6.8,0.8,2.6,1.7,2.4,1.7,3.7,5.4,2.8,0.9,0.5,1.8,3.7,11.8,0.498,0.569,0.312,0.707,0.567,0.541,F,3.0,111.0,116,1.9,1.1,0.071,-1.3,-0.5,-1.8,0.1,14.3,7.2,15.3,11.2,16.9,1.7,1.8,14.6,19.6,jaeseantate,1517981.0,1655506.0
20,48,45,0,27.2,4.1,11.4,3.3,7.3,0.9,4.1,2.6,3.4,0.5,3.0,3.6,4.4,1.2,0.4,3.0,3.0,11.8,0.361,0.443,0.214,0.773,0.455,0.4,G,-1.6,88.0,112,-3.0,1.3,-0.06,-5.3,-0.2,-5.6,-1.2,8.6,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,jalensuggs,6592920.0,7190222.0
20,71,71,0,25.6,3.5,6.9,3.3,6.3,0.2,0.6,1.0,1.5,3.2,5.5,8.7,1.2,0.3,1.1,1.2,3.0,8.3,0.51,0.529,0.326,0.718,0.55,0.526,F-C,3.4,113.0,112,1.6,1.8,0.091,-2.5,-0.8,-3.3,-0.6,14.0,12.8,24.5,18.4,6.9,0.6,3.9,13.7,14.6,isaiahstewart,3277080.0,3573975.0
27,71,71,0,32.3,4.2,10.1,2.5,5.0,1.7,5.1,2.0,2.5,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1,0.418,0.506,0.331,0.793,0.54,0.501,G,5.6,110.0,107,1.9,3.7,0.116,-1.2,1.7,0.5,1.5,13.6,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,marcussmart,13839285.0,15093090.0
22,57,30,0,29.5,6.2,14.0,3.1,6.2,3.1,7.8,1.8,2.0,0.5,2.2,2.6,3.9,0.5,0.1,2.0,1.9,17.3,0.443,0.49,0.405,0.888,0.583,0.555,G,1.9,112.0,121,2.0,-0.1,0.055,1.9,-2.7,-0.7,0.5,15.3,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,anferneesimons,3938818.0,4295665.0
27,68,68,0,37.9,8.8,17.8,7.7,14.5,1.1,3.2,4.2,5.6,1.9,6.6,8.5,5.3,1.3,0.6,2.7,3.3,22.8,0.494,0.527,0.344,0.749,0.565,0.525,F,8.1,116.0,110,4.9,3.2,0.151,2.7,0.8,3.5,3.6,20.3,5.1,20.1,12.2,23.0,1.6,1.6,11.6,25.8,pascalsiakam,33003936.0,35994012.0
28,64,29,0,28.7,4.9,11.3,3.5,7.4,1.3,3.9,2.5,2.9,0.5,2.8,3.3,4.6,0.8,0.1,2.2,2.4,13.5,0.431,0.477,0.344,0.853,0.539,0.49,G,2.9,107.0,112,1.0,1.9,0.076,-1.5,-0.4,-1.9,0.0,13.0,2.0,10.5,6.3,24.2,1.4,0.4,15.1,22.6,dennisschroeder,5890000.0,6423619.0
25,62,61,0,34.5,7.1,12.5,6.5,10.5,0.6,2.0,4.0,5.4,3.2,8.9,12.1,5.2,1.0,0.4,3.1,3.3,18.9,0.573,0.623,0.312,0.741,0.637,0.598,C-F,7.1,121.0,113,5.3,1.8,0.159,3.2,0.9,4.1,3.2,21.9,10.3,29.0,19.5,23.6,1.3,1.1,17.5,22.3,domantassabonis,18500000.0,20176055.0
25,65,65,0,32.0,6.2,15.0,3.5,7.0,2.7,8.0,3.0,3.7,0.4,2.9,3.3,7.1,1.0,0.3,2.5,2.0,18.1,0.411,0.492,0.34,0.825,0.544,0.502,G,4.4,112.0,115,2.9,1.5,0.101,2.2,-1.5,0.8,1.4,16.3,1.3,10.1,5.6,33.1,1.4,1.0,13.2,25.1,dangelorussell,30013500.0,32732650.0
27,73,73,0,33.7,7.1,16.0,4.1,7.9,3.0,8.1,2.1,2.4,0.8,3.5,4.3,4.5,1.3,0.3,1.3,1.6,19.3,0.444,0.516,0.374,0.852,0.566,0.539,G,5.9,117.0,115,4.3,1.6,0.115,2.4,-0.7,1.7,2.3,17.6,2.4,11.3,6.8,19.7,1.8,1.0,7.2,23.2,terryrozier,17905263.0,19527436.0
23,45,28,0,21.1,3.7,7.2,2.7,5.0,1.0,2.2,1.7,2.6,1.7,3.2,4.8,1.6,0.8,0.8,1.0,2.4,10.1,0.514,0.545,0.444,0.672,0.607,0.582,F,2.9,120.0,111,1.8,1.1,0.147,0.4,0.2,0.6,0.6,18.3,8.0,15.6,11.8,12.1,1.8,3.3,10.3,19.0,isaiahroby,1782621.0,1944122.0
21,49,36,0,22.2,2.7,6.6,1.6,3.2,1.2,3.4,0.8,1.1,1.5,4.1,5.6,1.0,0.6,0.3,0.8,1.5,7.5,0.414,0.478,0.352,0.741,0.526,0.503,F,1.5,108.0,113,0.4,1.0,0.065,-1.9,-0.4,-2.2,-0.1,11.7,7.0,19.1,13.0,6.7,1.3,1.3,10.1,15.4,jeremiahrobinsonearl,2000000.0,2181195.0
